Source,Target,Type,Weight
2,1,Undirected,441
1,2,Undirected,441
3,1,Undirected,438
1,3,Undirected,438
3,2,Undirected,393
2,3,Undirected,393
4,1,Undirected,402
1,4,Undirected,402
4,2,Undirected,356
2,4,Undirected,356
4,3,Undirected,380
3,4,Undirected,380
5,1,Undirected,112
1,5,Undirected,112
5,2,Undirected,108
2,5,Undirected,108
5,3,Undirected,101
3,5,Undirected,101
5,4,Undirected,100
4,5,Undirected,100
6,1,Undirected,2
1,6,Undirected,2
6,2,Undirected,3
2,6,Undirected,3
6,3,Undirected,3
3,6,Undirected,3
6,4,Undirected,3
4,6,Undirected,3
6,5,Undirected,1
5,6,Undirected,1
7,1,Undirected,1
1,7,Undirected,1
7,2,Undirected,1
2,7,Undirected,1
7,3,Undirected,1
3,7,Undirected,1
8,1,Undirected,29
1,8,Undirected,29
8,2,Undirected,29
2,8,Undirected,29
8,3,Undirected,31
3,8,Undirected,31
8,4,Undirected,28
4,8,Undirected,28
8,5,Undirected,7
5,8,Undirected,7
8,6,Undirected,1
6,8,Undirected,1
8,7,Undirected,1
7,8,Undirected,1
9,1,Undirected,37
1,9,Undirected,37
9,2,Undirected,36
2,9,Undirected,36
9,3,Undirected,37
3,9,Undirected,37
9,4,Undirected,31
4,9,Undirected,31
9,5,Undirected,12
5,9,Undirected,12
9,6,Undirected,1
6,9,Undirected,1
9,7,Undirected,1
7,9,Undirected,1
9,8,Undirected,29
8,9,Undirected,29
10,1,Undirected,28
1,10,Undirected,28
10,2,Undirected,28
2,10,Undirected,28
10,3,Undirected,29
3,10,Undirected,29
10,4,Undirected,26
4,10,Undirected,26
10,5,Undirected,9
5,10,Undirected,9
10,6,Undirected,1
6,10,Undirected,1
10,7,Undirected,1
7,10,Undirected,1
10,8,Undirected,28
8,10,Undirected,28
10,9,Undirected,30
9,10,Undirected,30
11,1,Undirected,28
1,11,Undirected,28
11,2,Undirected,28
2,11,Undirected,28
11,3,Undirected,27
3,11,Undirected,27
11,4,Undirected,26
4,11,Undirected,26
11,5,Undirected,4
5,11,Undirected,4
11,7,Undirected,1
7,11,Undirected,1
11,8,Undirected,4
8,11,Undirected,4
11,9,Undirected,4
9,11,Undirected,4
11,10,Undirected,4
10,11,Undirected,4
12,1,Undirected,46
1,12,Undirected,46
12,2,Undirected,39
2,12,Undirected,39
12,3,Undirected,34
3,12,Undirected,34
12,4,Undirected,32
4,12,Undirected,32
12,5,Undirected,10
5,12,Undirected,10
12,6,Undirected,1
6,12,Undirected,1
12,7,Undirected,1
7,12,Undirected,1
12,8,Undirected,4
8,12,Undirected,4
12,9,Undirected,5
9,12,Undirected,5
12,10,Undirected,4
10,12,Undirected,4
12,11,Undirected,6
11,12,Undirected,6
13,1,Undirected,17
1,13,Undirected,17
13,2,Undirected,14
2,13,Undirected,14
13,3,Undirected,18
3,13,Undirected,18
13,4,Undirected,15
4,13,Undirected,15
13,5,Undirected,5
5,13,Undirected,5
13,7,Undirected,1
7,13,Undirected,1
13,8,Undirected,2
8,13,Undirected,2
13,9,Undirected,2
9,13,Undirected,2
13,10,Undirected,2
10,13,Undirected,2
13,11,Undirected,3
11,13,Undirected,3
13,12,Undirected,1
12,13,Undirected,1
14,1,Undirected,4
1,14,Undirected,4
14,2,Undirected,4
2,14,Undirected,4
14,3,Undirected,3
3,14,Undirected,3
14,4,Undirected,1
4,14,Undirected,1
14,7,Undirected,1
7,14,Undirected,1
14,8,Undirected,1
8,14,Undirected,1
14,9,Undirected,1
9,14,Undirected,1
14,10,Undirected,1
10,14,Undirected,1
14,11,Undirected,1
11,14,Undirected,1
14,12,Undirected,1
12,14,Undirected,1
14,13,Undirected,1
13,14,Undirected,1
15,1,Undirected,1
1,15,Undirected,1
15,2,Undirected,1
2,15,Undirected,1
15,3,Undirected,1
3,15,Undirected,1
15,4,Undirected,1
4,15,Undirected,1
15,5,Undirected,1
5,15,Undirected,1
16,1,Undirected,10
1,16,Undirected,10
16,2,Undirected,9
2,16,Undirected,9
16,3,Undirected,8
3,16,Undirected,8
16,4,Undirected,8
4,16,Undirected,8
16,5,Undirected,3
5,16,Undirected,3
16,9,Undirected,1
9,16,Undirected,1
16,11,Undirected,1
11,16,Undirected,1
16,12,Undirected,1
12,16,Undirected,1
16,15,Undirected,1
15,16,Undirected,1
17,3,Undirected,1
3,17,Undirected,1
17,8,Undirected,1
8,17,Undirected,1
17,9,Undirected,1
9,17,Undirected,1
17,10,Undirected,1
10,17,Undirected,1
18,1,Undirected,2
1,18,Undirected,2
18,2,Undirected,2
2,18,Undirected,2
18,3,Undirected,2
3,18,Undirected,2
18,4,Undirected,2
4,18,Undirected,2
19,1,Undirected,2
1,19,Undirected,2
19,2,Undirected,2
2,19,Undirected,2
19,3,Undirected,2
3,19,Undirected,2
19,4,Undirected,2
4,19,Undirected,2
19,18,Undirected,1
18,19,Undirected,1
20,1,Undirected,1
1,20,Undirected,1
20,3,Undirected,1
3,20,Undirected,1
20,4,Undirected,1
4,20,Undirected,1
20,13,Undirected,1
13,20,Undirected,1
21,1,Undirected,11
1,21,Undirected,11
21,2,Undirected,8
2,21,Undirected,8
21,3,Undirected,10
3,21,Undirected,10
21,4,Undirected,10
4,21,Undirected,10
21,5,Undirected,3
5,21,Undirected,3
21,6,Undirected,1
6,21,Undirected,1
21,8,Undirected,2
8,21,Undirected,2
21,9,Undirected,2
9,21,Undirected,2
21,10,Undirected,2
10,21,Undirected,2
21,12,Undirected,2
12,21,Undirected,2
21,13,Undirected,1
13,21,Undirected,1
22,1,Undirected,2
1,22,Undirected,2
22,2,Undirected,1
2,22,Undirected,1
22,3,Undirected,2
3,22,Undirected,2
22,4,Undirected,1
4,22,Undirected,1
23,1,Undirected,2
1,23,Undirected,2
23,2,Undirected,2
2,23,Undirected,2
23,3,Undirected,2
3,23,Undirected,2
23,4,Undirected,2
4,23,Undirected,2
23,8,Undirected,1
8,23,Undirected,1
23,9,Undirected,1
9,23,Undirected,1
23,10,Undirected,1
10,23,Undirected,1
23,11,Undirected,1
11,23,Undirected,1
